popularity,is_collaboration,num_artists,track_name_length,release_year,release_month,release_day_of_week,is_explicit,artist_popularity,artist_followers
79,0,1,7,2015.0,3.0,0.0,1,89,44682383
79,1,2,25,2013.0,6.0,1.0,1,82,27099455
79,0,1,3,0.0,0.0,0.0,1,82,17353539
79,1,2,16,1999.0,11.0,1.0,1,78,15116155
78,1,2,8,2011.0,1.0,5.0,1,86,17967990
78,1,2,10,2009.0,1.0,3.0,1,83,18912162
78,1,2,29,1996.0,2.0,1.0,1,78,22592720
78,1,2,16,1999.0,11.0,1.0,1,78,15116155
78,0,1,11,2017.0,8.0,4.0,1,85,14990942
78,1,3,14,2007.0,1.0,0.0,1,83,18912162
78,0,1,13,2016.0,9.0,4.0,1,90,41193212
78,1,2,12,2003.0,2.0,3.0,1,83,18912162
78,1,2,20,2010.0,11.0,0.0,1,89,31088986
78,0,1,5,2018.0,12.0,4.0,1,84,23853911
78,1,3,39,2023.0,10.0,4.0,1,95,103251589
78,0,1,15,0.0,0.0,0.0,1,95,103251589
78,0,1,8,2011.0,11.0,1.0,1,95,103251589
78,0,1,12,2018.0,11.0,4.0,1,85,21687055
78,1,2,35,2017.0,8.0,4.0,1,82,19276073
78,0,1,9,2012.0,1.0,6.0,1,84,34311895
78,0,1,8,2003.0,2.0,3.0,1,83,18912162
78,0,1,5,2010.0,11.0,0.0,1,89,31088986
78,0,1,9,2019.0,5.0,4.0,1,87,24492412
78,0,1,29,2016.0,6.0,4.0,1,89,31088986
78,0,1,8,2023.0,6.0,4.0,1,85,10381399
78,1,2,32,2020.0,5.0,4.0,1,95,103251589
77,0,1,12,2011.0,11.0,1.0,1,95,103251589
77,0,1,12,2022.0,5.0,4.0,1,89,44682383
77,0,1,13,2018.0,6.0,4.0,1,95,103251589
77,0,1,9,2018.0,8.0,4.0,1,90,41193212
77,1,2,6,2011.0,8.0,0.0,1,86,17967990
77,0,1,12,2018.0,8.0,4.0,1,90,41193212
77,1,2,27,2025.0,10.0,3.0,1,80,6617029
77,0,1,10,2020.0,3.0,4.0,1,82,19276073
77,0,1,4,2017.0,4.0,4.0,1,89,44682383
77,0,1,17,2011.0,11.0,1.0,1,95,103251589
77,1,2,8,2020.0,5.0,4.0,1,88,28386090
